,link_query,provider_details,service_description,contact
41,https://nigra.org.uk/blog/,Northern Ireland's Gay Rights Association (NIGRA),"Offering advice, information, resources & links to support in NI surrounding the rights of LGBT+ people in a time of change, adversity and change.",info@nigra.org.uk
42,https://www.amnesty.org.uk/,Amnesty,"Amnesty investigate and expose abuses, educate and mobilise the public, and help transform societies to create a safer, more just world.",sct@amnesty.org.uk
43,https://www.moneysavingexpert.com/content/dam/FurloughNTKs.pdf,MSE,"Forsome employees and employers without HR departments, furloughing can seem complex. This in itself may stop some employers agreeing to implement this important financial lifeline. This quick info sheet is intended to make it simple, allowing employees and employers to help each other through it.",
44,https://www.tuc.org.uk/,Trades Union Congress TUC,The TUC exists to make the working world a better place for everyone.,020 7636 4030     info@tuc.org.uk
45,https://www.equalityhumanrights.com/en,Equality and Human rights commission,"Promoting and upholding equality and human rights ideals and laws across England, Scotland and Wales. Textphone: 0808 800 0084",0808 800 0082
46,https://www.childrenslegalcentre.com/about-us/what-we-do/migrant-childrens-project/,the Migrants Children's Project,"Promotes the rights of migrant children, offers advice for issues concerning migrant children and conducts research.",mcpadvice@coramclc.org.uk
47,https://www.biduk.org/,Bail For Immigration Detainees,An independent charity providing legal advice and representation to migrants detained in removal centres and prisons to help them secure their release. Advice line open Monday - Thursday 10-12am,0207 456 9750
48,https://www.bihr.org.uk/,British Institute of Human Rights,"Helping to make sense of the law. Human rights guides for older people, carers and people with mental health problems. Factsheets on human rights.",info@bihr.org.uk
49,https://www.rst.org.uk/,Refugee Survival Trust,"Provide Access to Employment and Education grants via referral, run social integration projects in Glasgow and can offer work experience.",info@rst.org.uk
50,https://maternityaction.org.uk/,Maternity Action,"Maternity Action provides information, advice and training on maternity rights in employment, benefits and access to NHS healthcare. Check website for helpline and opening hours.",info@maternityaction.org.uk
51,https://nipsa.org.uk/,NIPSA,Protecting the rights of members that work as public officers and those in the civil service. NIPSA also support LGBT+ people in the public workforce. Helpline Mon-Fri 9am-5pm,028 9066 1831     info@nipsa.org.uk
52,https://www.jcwi.org.uk/,Joint Council for the Welfare of Immigrants,"If you are in the UK without status and need legal advice, our helpline is open on Mondays, Tuesdays and Thursdays between 10am and 1pm. Range of free online resources and toolkits available too.",027553 7470
